date,day_of_week,week_label,source_file,space_type,lot_type,location,time_of_day,available_spaces
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P603,8:00 AM,20
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P603,10:00 AM,6
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P603,12:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P603,2:00 PM,6
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P610,8:00 AM,31
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P610,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P610,12:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P610,2:00 PM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P706,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P706,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P706,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P706,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P759,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P759,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P759,12:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P759,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,8:00 AM,16
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,10:00 AM,13
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,12:00 PM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,2:00 PM,9
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Athena,8:00 AM,155
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Athena,10:00 AM,126
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Athena,12:00 PM,83
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Athena,2:00 PM,99
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Gilman,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Gilman,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Gilman,12:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Gilman,2:00 PM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Hopkins,8:00 AM,209
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Hopkins,10:00 AM,197
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Hopkins,12:00 PM,180
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Hopkins,2:00 PM,197
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Mesa Canyon,8:00 AM,100
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Mesa Canyon,10:00 AM,25
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Mesa Canyon,12:00 PM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Mesa Canyon,2:00 PM,12
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Pangea,8:00 AM,41
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Pangea,10:00 AM,25
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Pangea,12:00 PM,14
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Pangea,2:00 PM,11
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Scholars,8:00 AM,28
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Scholars,10:00 AM,19
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Scholars,12:00 PM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Scholars,2:00 PM,11
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,South,8:00 AM,190
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,South,10:00 AM,18
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,South,12:00 PM,88
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,South,2:00 PM,139
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,TDLLN,8:00 AM,241
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,TDLLN,10:00 AM,133
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,TDLLN,12:00 PM,88
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,TDLLN,2:00 PM,106
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center North,8:00 AM,107
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center North,10:00 AM,86
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center North,12:00 PM,80
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center North,2:00 PM,90
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center South,8:00 AM,57
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center South,10:00 AM,44
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center South,12:00 PM,40
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,Torrey Pines Center South,2:00 PM,46
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Surface Lot,P001,8:00 AM,8
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Surface Lot,P001,10:00 AM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Surface Lot,P001,12:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Surface Lot,P001,2:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P002,8:00 AM,21
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P002,10:00 AM,6
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P002,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P002,2:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P003,8:00 AM,30
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P003,10:00 AM,13
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P003,12:00 PM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P003,2:00 PM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P006,8:00 AM,8
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P006,10:00 AM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P006,12:00 PM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P006,2:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P007,8:00 AM,24
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P007,10:00 AM,14
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P007,12:00 PM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P007,2:00 PM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P008,8:00 AM,21
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P008,10:00 AM,8
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P008,12:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P008,2:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P010,8:00 AM,18
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P010,10:00 AM,9
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P010,12:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P010,2:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P011,8:00 AM,16
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P011,10:00 AM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P011,12:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P011,2:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P012,8:00 AM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P012,10:00 AM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P012,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P012,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P013,8:00 AM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P013,10:00 AM,10
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P013,12:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P013,2:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P014,8:00 AM,60
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P014,10:00 AM,49
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P014,12:00 PM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P014,2:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P032,8:00 AM,9
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P032,10:00 AM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P032,12:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P032,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P206,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P206,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P206,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P206,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P303,8:00 AM,12
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P303,10:00 AM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P303,12:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P303,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P304,8:00 AM,48
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P304,10:00 AM,41
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P304,12:00 PM,37
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P304,2:00 PM,42
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P357,8:00 AM,95
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P357,10:00 AM,18
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P357,12:00 PM,34
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P357,2:00 PM,26
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P359,8:00 AM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P359,10:00 AM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P359,12:00 PM,13
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P359,2:00 PM,17
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P384,8:00 AM,156
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P384,10:00 AM,67
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P384,12:00 PM,25
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P384,2:00 PM,22
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P406,8:00 AM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P406,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P406,12:00 PM,2
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P406,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P503,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P503,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P503,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P503,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P507,8:00 AM,24
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P507,10:00 AM,14
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P507,12:00 PM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P507,2:00 PM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P510,8:00 AM,4
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P510,10:00 AM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P510,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P510,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P604,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P604,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P604,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P604,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P702,8:00 AM,69
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P702,10:00 AM,43
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P702,12:00 PM,47
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P702,2:00 PM,51
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P706,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P706,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,,P706,12:00 PM,0
